date,covid_month,season,state,tests,cases,hospitalizations,deaths
2020-08-28,8,Summer,OH,31429,1296,71,29
2020-08-28,8,Summer,OK,9931,710,46,8
2020-08-28,8,Summer,OR,12443,190,30,5
2020-08-28,8,Summer,PA,31838,835,0,20
2020-08-28,8,Summer,RI,9329,94,11,2
2020-08-28,8,Summer,SC,8490,1353,0,27
2020-08-28,8,Summer,SD,2429,323,12,3
2020-08-28,8,Summer,TN,27222,1636,74,28
2020-08-28,8,Summer,TX,34918,4031,0,196
2020-08-28,8,Summer,UT,5636,391,26,4
2020-08-28,8,Summer,VT,2973,4,0,0
2020-08-28,8,Summer,VA,36769,2134,69,35
2020-08-28,8,Summer,WA,16855,598,34,10
2020-08-28,8,Summer,WV,5738,191,0,3
2020-08-28,8,Summer,WI,24357,864,52,2
2020-08-28,8,Summer,WY,1377,41,0,0
2020-08-28,8,Summer,NA,0,0,0,0
2020-08-28,8,Summer,NA,4845,57,0,0
2020-08-28,8,Summer,NA,570,55,0,0
2020-08-28,8,Summer,NA,0,0,0,0
2020-08-28,8,Summer,NA,257,257,0,12
2020-08-28,8,Summer,NA,183,23,0,0
2020-08-29,8,Summer,AL,10812,1704,0,45
2020-08-29,8,Summer,AK,6157,93,1,0
2020-08-29,8,Summer,AZ,14000,629,5,29
2020-08-29,8,Summer,AR,8915,795,0,16
2020-08-29,8,Summer,CA,98993,4981,0,144
2020-08-29,8,Summer,CO,9329,268,48,7
2020-08-29,8,Summer,CT,18161,0,0,0
2020-08-29,8,Summer,DE,4719,266,0,0
2020-08-29,8,Summer,FL,62926,3132,287,150
2020-08-29,8,Summer,GA,25195,2386,198,105
2020-08-29,8,Summer,HI,4582,264,23,4
2020-08-29,8,Summer,ID,1848,262,21,10
2020-08-29,8,Summer,IL,48784,1880,0,11
2020-08-29,8,Summer,IN,20667,1121,21,8
2020-08-29,8,Summer,IA,5420,778,0,13
2020-08-29,8,Summer,KS,0,0,0,0
2020-08-29,8,Summer,KY,10885,820,28,3
2020-08-29,8,Summer,LA,0,0,0,0
2020-08-29,8,Summer,ME,4067,53,1,0
2020-08-29,8,Summer,MD,25483,630,33,10
2020-08-29,8,Summer,MA,48917,446,24,13
2020-08-29,8,Summer,MI,34278,0,0,0
2020-08-29,8,Summer,MN,17037,1017,54,4
2020-08-29,8,Summer,MS,5635,735,21,14
2020-08-29,8,Summer,MO,13274,1198,0,32
2020-08-29,8,Summer,MT,2506,188,12,4
2020-08-29,8,Summer,NE,4332,335,14,1
2020-08-29,8,Summer,NV,5691,609,0,15
2020-08-29,8,Summer,NH,2793,30,1,0
2020-08-29,8,Summer,NJ,58597,393,31,3
